title,published,views,likes,comments,video_id,duration,url,days_since_start,final_cluster,series_name
Genghis Khan - The Rivalry of Blood Brothers - Extra History - Part 2,2018-02-24,3731800,62360.0,1759.0,61NZrJevZwI,595.0,https://www.youtube.com/watch?v=61NZrJevZwI,1632,64,Genghis Khan
Genghis Khan - The Debut of Temüjin Khan - Extra History - Part 3,2018-03-03,3327049,55751.0,1661.0,IvUDNSfSQdU,628.0,https://www.youtube.com/watch?v=IvUDNSfSQdU,1639,64,Genghis Khan
Genghis Khan - Khan of All Mongols - Extra History - Part 4,2018-03-10,3161963,55727.0,2222.0,vmYcxEOBk_8,621.0,https://www.youtube.com/watch?v=vmYcxEOBk_8,1646,64,Genghis Khan
Genghis Khan - Beginnings of the Great Mongol Nation - Extra History - Part 5,2018-03-17,3092176,53667.0,2059.0,FPYnY_TgQDA,642.0,https://www.youtube.com/watch?v=FPYnY_TgQDA,1653,64,Genghis Khan
Genghis Khan - The Final Conquering Years - Extra History - Part 6,2018-03-24,2869276,66367.0,4207.0,aKQ-djCmsrQ,605.0,https://www.youtube.com/watch?v=aKQ-djCmsrQ,1660,64,Genghis Khan
Genghis Khan - Lies - Extra History,2018-03-31,297372,6595.0,567.0,rSg5Lx5RqUA,918.0,https://www.youtube.com/watch?v=rSg5Lx5RqUA,1667,64,Genghis Khan
Great Northern War - When Sweden Ruled the World - Extra History - Part 1,2017-08-19,4743438,69085.0,3501.0,VyBPAz1H-lU,515.0,https://www.youtube.com/watch?v=VyBPAz1H-lU,1443,68,Great Northern War
Great Northern War - A Good Plan - Extra History - Part 2,2017-08-26,2836798,45989.0,2309.0,QCTohrWP-Lo,540.0,https://www.youtube.com/watch?v=QCTohrWP-Lo,1450,68,Great Northern War
Great Northern War - Young and Violent - Extra History - Part 3,2017-09-09,2288618,37426.0,1570.0,dovxeQEDils,515.0,https://www.youtube.com/watch?v=dovxeQEDils,1464,68,Great Northern War
Great Northern War - Clash of Kings - Extra History - Part 4,2017-09-16,1987699,33073.0,1210.0,M6Oon1XGWRc,507.0,https://www.youtube.com/watch?v=M6Oon1XGWRc,1471,68,Great Northern War
Great Northern War - Rise and Fall - Extra History - Part 5,2017-09-23,1659274,36482.0,2233.0,0dPI1PzyWjg,534.0,https://www.youtube.com/watch?v=0dPI1PzyWjg,1478,68,Great Northern War
Great Northern War - Lies - Extra History,2017-10-07,448676,6594.0,672.0,1hGAdzbef4g,1588.0,https://www.youtube.com/watch?v=1hGAdzbef4g,1492,68,Great Northern War
